Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Insulin secretion Homo sapiens hsa04911,-0.18741663477815476,-0.6496488574643006,0.8175675675675675,1.0,85,85,ATP1B3;CREB3;KCNN2;PDX1;ADCY9;KCNMB2;SLC2A1;KCNJ11;SLC2A2;ADCY2;KCNN3;CREB3L2;PLCB1;KCNMB1;ADCYAP1R1;CREB3L1;ADCYAP1;ATF4;ATP1A3;PLCB2;KCNU1;CACNA1D;CREB5;PRKCB;PLCB3;STX1A;CHRM3;CREB1;PRKCG;ADCY8;CAMK2A;KCNN1;CREB3L3;RAB3A;VAMP2;ATF2;INS;CAMK2B;KCNMA1;ATP1A1;GNAS;SNAP25;PRKACG;GNAQ;CAMK2D;PRKCA;RIMS2;PRKACB;CACNA1C;GPR119;CCKAR;ITPR3;GLP1R;ADCY5;ATF6B;KCNMB3;PRKACA;PCLO;ADCY1;RAPGEF4;ABCC8;ATP1A2;GNA11;CACNA1F;FXYD2;RYR2;ADCY4;TRPM4;ADCY7;CACNA1S;ATP1B1;FFAR1;GCK;GIP;CREB3L4;ADCY3;ATP1B2;KCNMB4;ATP1A4;PLCB4;KCNN4;GCG;CAMK2G;ATP1B4;ADCY6,KCNMA1;ATP1A1;GNAS;SNAP25;PRKACG;GNAQ;CAMK2D;PRKCA;RIMS2;PRKACB;CACNA1C;GPR119;CCKAR;ITPR3;GLP1R;ADCY5;ATF6B;KCNMB3;PRKACA;PCLO;ADCY1;RAPGEF4;ABCC8;ATP1A2;GNA11;CACNA1F;FXYD2;RYR2;ADCY4;TRPM4;ADCY7;CACNA1S;ATP1B1;FFAR1;GCK;GIP;CREB3L4;ADCY3;ATP1B2;KCNMB4;ATP1A4;PLCB4;KCNN4;GCG;CAMK2G;ATP1B4;ADCY6
Salmonella infection Homo sapiens hsa05132,-0.20031100422787054,-0.6951223258439346,0.8181818181818182,1.0,86,84,ARPC2;RAB7A;ARPC4;ACTG1;ARPC3;IL18;ARPC5;PYCARD;MAPK3;PKN1;PFN2;DYNC1LI1;MAPK1;CD14;NLRC4;WAS;RHOG;IFNG;ARPC1B;TLR4;IFNGR2;RAC1;NOS2;IFNGR1;ACTB;PFN1;MYD88;FLNA;IL6;RELA;PFN3;CASP1;TLR5;MYH9;DYNC1H1;CDC42;MAPK14;WASF1;WASL;DYNC1I2;DYNC1I1;TJP1;CXCL2;MAPK9;FLNC;CXCL3;ARPC1A;ROCK1;WASF2;MYH10;PLEKHM2;MAPK8;CXCL1;MAPK13;MAPK10;IL1A;CXCL8;ARPC5L;PFN4;FLNB;PKN2;KLC2;NFKB1;MAPK11;DYNC1LI2;PKN3;RILP;LBP;KLC3;CCL4L1;CCL4;KLC1;CSF2;RAB7B;KLC4;JUN;CCL3L3;CCL3;MYH14;ROCK2;MAPK12;IL1B;DYNC2H1;FOS,CXCL8;ARPC5L;PFN4;FLNB;PKN2;KLC2;NFKB1;MAPK11;DYNC1LI2;PKN3;RILP;LBP;KLC3;CCL4L1;CCL4;KLC1;CSF2;RAB7B;KLC4;JUN;CCL3L3;CCL3;MYH14;ROCK2;MAPK12;IL1B;DYNC2H1;FOS
Gap junction Homo sapiens hsa04540,-0.1871833332013576,-0.7265814889521273,0.8194444444444444,1.0,88,88,MAP2K5;HTR2B;GNAI2;GUCY1A2;ADCY9;KRAS;DRD2;MAPK3;ADCY2;HTR2C;MAPK1;PDGFD;PLCB1;TUBB6;GNAI1;GRM5;GRB2;PDGFRA;GUCY1A3;TUBB;GRM1;PLCB2;TUBAL3;RAF1;TUBB2B;ADRB1;TUBB1;PRKCB;SOS2;EGFR;GNAI3;MAP2K1;NRAS;PLCB3;PRKCG;ADCY8;TJP1;DRD1;TUBA4A;EGF;TUBA1A;PRKG1;HRAS;PDGFB;MAP2K2;GNAS;GUCY1B3;PRKACG;GNAQ;TUBB2A;SOS1;PRKCA;ITPR2;HTR2A;PRKACB;TUBB3;ITPR3;ADCY5;TUBA1C;TUBA8;PRKACA;TUBA3C;PDGFRB;ADCY1;GNA11;TUBA1B;ADCY4;MAP3K2;ADCY7;ITPR1;MAPK7;TUBB4A;PDGFA;TUBB8;PDGFC;PRKG2;ADCY3;TUBB4B;GJA1;CDK1;TUBA3E;LPAR1;SRC;TUBA3D;CSNK1D;PLCB4;GJD2;ADCY6,HRAS;PDGFB;MAP2K2;GNAS;GUCY1B3;PRKACG;GNAQ;TUBB2A;SOS1;PRKCA;ITPR2;HTR2A;PRKACB;TUBB3;ITPR3;ADCY5;TUBA1C;TUBA8;PRKACA;TUBA3C;PDGFRB;ADCY1;GNA11;TUBA1B;ADCY4;MAP3K2;ADCY7;ITPR1;MAPK7;TUBB4A;PDGFA;TUBB8;PDGFC;PRKG2;ADCY3;TUBB4B;GJA1;CDK1;TUBA3E;LPAR1;SRC;TUBA3D;CSNK1D;PLCB4;GJD2;ADCY6
cAMP signaling pathway Homo sapiens hsa04024,-0.17985609238391775,-0.7277987002002798,0.8194444444444444,1.0,199,199,ATP1B3;RHOA;EDNRA;CALML5;CREB3;PPP1CB;PLN;GHRL;GRIN2D;GNAI2;RAP1B;PDE3B;ADCY9;HCN4;PIK3R1;PDE4B;DRD2;PPP1CA;MAPK3;ADCY2;TSHR;MYL9;GLI1;ABCC4;RAC3;GRIA4;HTR1D;PTCH1;PIK3CA;CHRM2;MAPK1;PDE3A;CREB3L2;RRAS2;GRIN3A;VAV1;GNAI1;PDE4A;GABBR1;ADCYAP1R1;HCAR1;RAC1;ORAI1;MC2R;CREB3L1;ATP2A2;PIK3R5;ATP1A3;CACNA1D;RAF1;RELA;NPR1;CREB5;NFATC1;F2R;SSTR1;VIPR2;GRIA3;PTGER2;ADRB1;BAD;HTR1A;PDE4C;CHRM1;PPARA;SSTR2;SUCNR1;CNGB1;TIAM1;GHSR;HTR6;GNAI3;MAP2K1;PIK3CD;FSHB;PIK3R2;PPP1R1B;DRD5;HTR1B;ADORA2A;GRIN1;RRAS;AKT3;AKT1;CREB1;RAC2;NPY1R;EP300;CNGA1;ADCY8;PIK3CG;PIK3R3;CALM3;CAMK2A;CAMK4;ADCY10;CREB3L3;DRD1;PTGER3;MAPK9;GABBR2;PPP1CC;HTR1F;RAP1A;ADRB2;CAMK2B;PDE4D;GRIN2B;NFKBIA;MAP2K2;ATP1A1;GNAS;ROCK1;ATP2B1;PRKACG;HTR1E;PAK1;CAMK2D;ATP2B2;SLC9A1;PIK3CB;CNGA3;SSTR5;PRKACB;MAPK8;PLD1;ATP2B3;ACOX1;CALML3;CACNA1C;GPR119;GLP1R;ADCY5;GRIA1;MAPK10;TNNI3;CNGA2;PRKACA;ADCY1;RAPGEF4;CALM1;HCN2;GRIN2A;GRIN2C;ATP1A2;PLD2;CACNA1F;FXYD2;RYR2;ADCY4;ATP2B4;HTR4;CREBBP;FSHR;GRIN3B;ADCY7;NFKB1;BRAF;CALM2;OXTR;CACNA1S;NPY;SOX9;ATP1B1;PLCE1;CREB3L4;HCAR2;ADCY3;ATP1B2;VAV3;GLI3;JUN;BDNF;CALML6;HHIP;ARAP3;GRIA2;CNGB3;ADORA1;FFAR2;ATP1A4;VAV2;PPP1R12A;ACOX3;FXYD1;HCAR3;AKT2;ROCK2;LIPE;AMH;FOS;CAMK2G;ATP1B4;MLLT4;GIPR;CFTR;ADCY6;CNGA4;RAPGEF3,ATP1B2;VAV3;GLI3;JUN;BDNF;CALML6;HHIP;ARAP3;GRIA2;CNGB3;ADORA1;FFAR2;ATP1A4;VAV2;PPP1R12A;ACOX3;FXYD1;HCAR3;AKT2;ROCK2;LIPE;AMH;FOS;CAMK2G;ATP1B4;MLLT4;GIPR;CFTR;ADCY6;CNGA4;RAPGEF3
Asthma Homo sapiens hsa05310,0.24135439457798494,0.5319837107174767,0.8201438848920863,1.0,31,28,HLA-DRB5;FCER1G;HLA-DMB;HLA-DQB1;HLA-DPA1;HLA-DMA;RNASE3;HLA-DOB;HLA-DOA;HLA-DRA;HLA-DQA2;IL10;HLA-DRB1;HLA-DPB1;IL9;HLA-DQA1;PRG2;CD40;FCER1A;IL13;MS4A2;IL4;CCL11;CD40LG;TNF;IL3;IL5;EPX,HLA-DRB5;FCER1G;HLA-DMB;HLA-DQB1;HLA-DPA1;HLA-DMA;RNASE3;HLA-DOB;HLA-DOA;HLA-DRA;HLA-DQA2;IL10;HLA-DRB1
African trypanosomiasis Homo sapiens hsa05143,-0.2469496785749362,-0.7099274304942085,0.8222222222222222,1.0,35,34,APOA1;IDO1;IL18;APOL1;FAS;ICAM1;IL10;PLCB1;IDO2;IFNG;HBB;FASLG;VCAM1;PLCB2;MYD88;IL6;PRKCB;HBA2;PLCB3;SELE;PRKCG;HPR;HBA1;GNAQ;PRKCA;F2RL1;THOP1;IL12B;TNF;TLR9;LAMA4;PLCB4;IL1B;IL12A,IL12B;TNF;TLR9;LAMA4;PLCB4;IL1B;IL12A
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,-0.20822744943162372,-0.6459367112432701,0.8231292517006803,1.0,47,47,ATP1B3;RAB11A;CLTA;ADCY9;PTH1R;AP2B1;AP2M1;CLTC;PLCB1;CLTCL1;CALB1;ATP1A3;PLCB2;KL;PRKCB;CLTB;PLCB3;SLC8A1;PRKCG;AP2A2;ATP1A1;GNAS;ATP2B1;PRKACG;GNAQ;PRKCA;DNM1;PRKACB;VDR;AP2S1;PRKACA;AP2A1;ATP1A2;FXYD2;ESR1;DNM3;KLK1;ATP1B1;BDKRB2;DNM2;ATP1B2;ATP1A4;PLCB4;ATP1B4;TRPV5;ADCY6;KLK2,ATP1A1;GNAS;ATP2B1;PRKACG;GNAQ;PRKCA;DNM1;PRKACB;VDR;AP2S1;PRKACA;AP2A1;ATP1A2;FXYD2;ESR1;DNM3;KLK1;ATP1B1;BDKRB2;DNM2;ATP1B2;ATP1A4;PLCB4;ATP1B4;TRPV5;ADCY6;KLK2
Colorectal cancer Homo sapiens hsa05210,0.19172294054894518,0.7196838897287468,0.8260869565217391,1.0,62,62,RHOA;APPL1;CTNNB1;SMAD3;TGFBR2;PIK3R1;KRAS;LEF1;CCND1;TGFBR1;MAPK3;DCC;MSH3;TCF7L2;MYC;RAC3;PIK3CA;MAPK1;RAC1;TGFB1;PIK3R5;SMAD2;RAF1;GSK3B;BAD;CYCS;MLH1;MAP2K1;PIK3CD;PIK3R2;AKT3;AKT1;RAC2;PIK3CG;PIK3R3;MAPK9;SMAD4;CASP9;PIK3CB;MAPK8;BCL2;MAPK10;BAX;CASP3;TGFB2;RALGDS;ARAF;TCF7L1;MSH2;BRAF;TP53;TCF7;AXIN1;APC;TGFB3;JUN;BIRC5;AKT2;MSH6;FOS;APC2;AXIN2,RHOA;APPL1;CTNNB1;SMAD3;TGFBR2;PIK3R1;KRAS;LEF1;CCND1;TGFBR1;MAPK3;DCC;MSH3;TCF7L2;MYC;RAC3;PIK3CA;MAPK1
AMPK signaling pathway Homo sapiens hsa04152,-0.177345563283061,-0.793302591072808,0.8263888888888888,1.0,124,123,EEF2;CREB3;PFKFB2;SLC2A4;EIF4EBP1;RAB10;LEPR;PRKAB2;G6PC2;ADIPOR1;PPARG;PIK3R1;IGF1;PFKM;CPT1A;CCND1;SCD5;CAB39;FOXO3;G6PC;PPP2R3A;PIK3CA;PPP2R5A;IGF1R;IRS1;CREB3L2;SIRT1;STRADB;PCK2;IRS2;PPP2R3C;PRKAG1;CREB3L1;RAB2A;PIK3R5;RAB14;PFKFB3;CREB5;PPP2R5C;PRKAG2;PPP2R2D;PFKP;HNF4A;PPP2R1A;PPP2CA;SCD;GYS2;RHEB;PIK3CD;PIK3R2;CAMKK1;AKT3;TBC1D1;AKT1;LEP;CREB1;ACACA;ADIPOR2;PIK3CG;PPP2R5D;PIK3R3;G6PC3;CREB3L3;INSR;FBP2;PPP2CB;ELAVL1;RAB8A;HMGCR;INS;MLYCD;CAMKK2;PPP2R2C;GYS1;PIK3CB;PDPK1;FASN;MAP3K7;PRKAB1;RPS6KB1;EEF2K;PRKAA2;STK11;SREBF1;FOXO1;CPT1C;CAB39L;PPP2R5E;PPP2R3B;PRKAG3;FBP1;CCNA1;PPP2R2B;ADIPOQ;AKT1S1;PFKFB4;PPP2R5B;IRS4;PCK1;PFKL;PPP2R1B;TSC2;RPS6KB2;CREB3L4;ADRA1A;CRTC2;PPARGC1A;MTOR;CD36;ULK1;TSC1;RPTOR;AKT2;LIPE;RAB11B;PFKFB1;PPP2R2A;PRKAA1;CCNA2;CFTR;CPT1B;ACACB;STRADA,SREBF1;FOXO1;CPT1C;CAB39L;PPP2R5E;PPP2R3B;PRKAG3;FBP1;CCNA1;PPP2R2B;ADIPOQ;AKT1S1;PFKFB4;PPP2R5B;IRS4;PCK1;PFKL;PPP2R1B;TSC2;RPS6KB2;CREB3L4;ADRA1A;CRTC2;PPARGC1A;MTOR;CD36;ULK1;TSC1;RPTOR;AKT2;LIPE;RAB11B;PFKFB1;PPP2R2A;PRKAA1;CCNA2;CFTR;CPT1B;ACACB;STRADA
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,-0.17865791328183622,-0.6770353750033151,0.8266666666666667,1.0,51,51,RAB5A;DERL1;GRIN2D;GPX1;TNFRSF1B;PPP3CC;PPP3R2;TNFRSF1A;RAC1;BID;CASP1;BAD;CYCS;MAP3K5;MAP2K3;MAPK14;GRIN1;PPP3R1;TOMM40L;CASP12;PPP3CB;NOS1;PPP3CA;SOD1;GRIN2B;CASP9;BCL2L1;CAT;BCL2;DAXX;MAPK13;SLC1A2;GRIA1;BAX;CASP3;NEFL;TOMM40;GRIN2A;GRIN2C;NEFM;MAPK11;CCS;PRPH;TP53;MAP2K6;NEFH;TNF;GRIA2;ALS2;APAF1;MAPK12,BCL2L1;CAT;BCL2;DAXX;MAPK13;SLC1A2;GRIA1;BAX;CASP3;NEFL;TOMM40;GRIN2A;GRIN2C;NEFM;MAPK11;CCS;PRPH;TP53;MAP2K6;NEFH;TNF;GRIA2;ALS2;APAF1;MAPK12
beta-Alanine metabolism Homo sapiens hsa00410,0.229370935454176,0.7405766739555332,0.8270676691729323,1.0,31,31,HADHA;ALDH9A1;ALDH1B1;ALDH3B2;ECHS1;ALDH3B1;ALDH2;DPYD;DPYS;GADL1;UPB1;SRM;AOC3;SMS;ALDH3A2;SMOX;CNDP2;ALDH6A1;MLYCD;ABAT;EHHADH;ACADM;GAD2;AOC2;GAD1;ALDH3A1;HIBCH;CNDP1;ALDH7A1;CARNS1;ALDH1A3,HADHA;ALDH9A1;ALDH1B1;ALDH3B2;ECHS1;ALDH3B1;ALDH2;DPYD
Gastric acid secretion Homo sapiens hsa04971,-0.20229283804184717,-0.6794686804188947,0.8321678321678322,1.0,74,74,ATP1B3;CALML5;SLC9A4;GAST;GNAI2;HRH2;ADCY9;ADCY2;MYLK4;PLCB1;KCNE2;KCNQ1;GNAI1;ACTB;ATP1A3;PLCB2;MYLK2;SST;PRKCB;SSTR2;SLC4A2;GNAI3;PLCB3;CHRM3;PRKCG;ADCY8;CALM3;CAMK2A;MYLK;EZR;KCNJ16;CAMK2B;ATP1A1;GNAS;PRKACG;GNAQ;CAMK2D;PRKCA;ITPR2;KCNJ10;ATP4A;SLC9A1;PRKACB;CCKBR;KCNK2;CALML3;ITPR3;ADCY5;KCNJ1;KCNJ15;PRKACA;ADCY1;CALM1;ATP1A2;MYLK3;ADCY4;ADCY7;ITPR1;ATP4B;CALM2;ATP1B1;KCNK10;KCNJ2;ADCY3;SLC26A7;ATP1B2;CA2;CALML6;ATP1A4;PLCB4;CAMK2G;ATP1B4;CFTR;ADCY6,ATP1A1;GNAS;PRKACG;GNAQ;CAMK2D;PRKCA;ITPR2;KCNJ10;ATP4A;SLC9A1;PRKACB;CCKBR;KCNK2;CALML3;ITPR3;ADCY5;KCNJ1;KCNJ15;PRKACA;ADCY1;CALM1;ATP1A2;MYLK3;ADCY4;ADCY7;ITPR1;ATP4B;CALM2;ATP1B1;KCNK10;KCNJ2;ADCY3;SLC26A7;ATP1B2;CA2;CALML6;ATP1A4;PLCB4;CAMK2G;ATP1B4;CFTR;ADCY6
HIF-1 signaling pathway Homo sapiens hsa04066,0.18869487689156872,0.7694311666227226,0.8345864661654135,1.0,103,102,GAPDH;RPS6;RBX1;EIF4EBP1;PLCG2;PDHB;NOX3;PIK3R1;CUL2;ENO1;IGF1;SLC2A1;NPPA;HK2;MAPK3;ANGPT4;CYBB;PIK3CA;HIF1A;MAPK1;CDKN1B;IGF1R;TCEB2;IFNG;ALDOA;TLR4;IFNGR2;IL6R;ANGPT2;EIF4E2;FLT1;TEK;NOS2;IFNGR1;LTBR;HMOX1;PIK3R5;EGLN1;PFKFB3;IL6;PDK1;RELA;ENO2;PDHA1;PRKCB;HK3;VHL;EGFR;MAP2K1;PIK3CD;TCEB1;PIK3R2;TFRC;NOX1;EDN1;AKT3;AKT1;HK1;PRKCG;EP300;LDHA;PIK3CG;VEGFA;PIK3R3;CDKN1A;CAMK2A;INSR;EGF;PGK1;INS;CAMK2B;MAP2K2;NOS3;STAT3;EIF4E1B;CAMK2D;PRKCA;PIK3CB;BCL2;SERPINE1;HKDC1;RPS6KB1;MKNK1;CREBBP;ANGPT1;TIMP1;NFKB1;EGLN3;EIF4E;PFKL;ERBB2;TF;RPS6KB2;EPO;MKNK2;MTOR;ENO3;ARNT;EGLN2;AKT2;CAMK2G;PLCG1,GAPDH;RPS6;RBX1;EIF4EBP1;PLCG2;PDHB;NOX3;PIK3R1;CUL2;ENO1;IGF1;SLC2A1;NPPA;HK2;MAPK3;ANGPT4;CYBB;PIK3CA;HIF1A;MAPK1;CDKN1B;IGF1R;TCEB2;IFNG;ALDOA;TLR4;IFNGR2;IL6R;ANGPT2;EIF4E2
Galactose metabolism Homo sapiens hsa00052,0.21866638366429372,0.6863772038927255,0.835820895522388,1.0,30,30,GLB1;MGAM;G6PC2;PFKM;HK2;AKR1B1;G6PC;AKR1B10;B4GALT1;PFKP;PGM2;HK3;LALBA;HK1;B4GALT2;G6PC3;SI;GLA;PGM1;GALE;GAA;GALM;HKDC1;UGP2;LCT;GALK1;PFKL;GCK;GANC;GALT,GLB1;MGAM;G6PC2;PFKM;HK2;AKR1B1;G6PC;AKR1B10;B4GALT1
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,-0.19281986475541127,-0.6739923236003885,0.8450704225352113,1.0,74,74,DSP;CACNG1;CTNNB1;PKP2;DES;ACTG1;CTNNA3;SGCD;LEF1;ITGAV;ACTN1;SGCA;TCF7L2;CACNA2D4;ITGA5;ITGB1;ITGA9;ITGA8;ATP2A2;SGCB;CACNG4;ACTB;DAG1;ITGA1;CACNA1D;ITGB5;CACNG2;CTNNA1;CACNA2D2;DSC2;SLC8A1;ITGA10;CACNG3;CTNNA2;CACNA2D1;ITGA6;CACNB3;ITGB3;ITGA11;ACTN3;CACNB2;CACNA2D3;ITGA3;EMD;SGCG;JUP;CACNB1;CACNA1C;LAMA2;CACNG8;CDH2;ITGA4;CACNA1F;RYR2;CACNB4;TCF7L1;ITGB4;ITGB8;ITGB6;CACNG7;ITGA2;CACNA1S;ITGB7;TCF7;ACTN4;LMNA;GJA1;ITGA7;DSG2;ITGA2B;ACTN2;DMD;CACNG5;CACNG6,CACNG8;CDH2;ITGA4;CACNA1F;RYR2;CACNB4;TCF7L1;ITGB4;ITGB8;ITGB6;CACNG7;ITGA2;CACNA1S;ITGB7;TCF7;ACTN4;LMNA;GJA1;ITGA7;DSG2;ITGA2B;ACTN2;DMD;CACNG5;CACNG6
Glutathione metabolism Homo sapiens hsa00480,0.20575469228050164,0.7114786842186082,0.8461538461538461,1.0,52,50,GSTP1;GSTA2;GGT6;ODC1;GPX1;GSTO1;GPX3;GGCT;GGT5;GPX2;HPGDS;MGST2;GPX4;PGD;SRM;GSTA3;GSTA1;MGST1;RRM1;GSTT2B;GSTK1;LAP3;GSTA4;SMS;GPX7;RRM2B;TXNDC12;GCLC;GSR;IDH2;MGST3;GSTM3;IDH1;GSTM4;G6PD;GPX6;GPX8;RRM2;GSTM1;GCLM;GSTO2;GSTM2;OPLAH;ANPEP;GSS;GSTM5;GPX5;GGT1;GSTT2;GGT7,GSTP1;GSTA2;GGT6;ODC1;GPX1;GSTO1;GPX3;GGCT;GGT5
Chemical carcinogenesis Homo sapiens hsa05204,0.20777395325050915,0.7254987663652561,0.8489208633093526,1.0,82,74,GSTP1;GSTA2;ADH1C;EPHX1;UGT2B7;UGT2A1;CYP2C9;ALDH3B2;UGT2B28;ADH1B;NAT2;SULT2A1;UGT2B10;GSTO1;ALDH3B1;ADH4;CYP1B1;ADH7;UGT1A6;AKR1C2;UGT2A3;HPGDS;UGT1A1;UGT1A4;UGT1A10;NAT1;MGST2;UGT2B11;GSTA3;UGT2B15;GSTA1;MGST1;ADH5;GSTT2B;GSTK1;GSTA4;UGT2B17;CCBL2;CYP2A13;CYP2E1;CYP1A1;ADH1A;MGST3;CYP2C19;GSTM3;GSTM4;CYP2A6;CYP2C18;CHRNA7;UGT1A9;CCBL1;UGT2B4;GSTM1;SULT1A1;CYP1A2;GSTO2;GSTM2;PTGS2;CYP3A5;ALDH3A1;GSTM5;ARNT;SULT1A3;HSD11B1;ADH6;SULT1A2;CYP3A4;CBR1;SULT1A4;GSTT2;CYP3A43;ALDH1A3;CYP2C8;CYP3A7,GSTP1;GSTA2;ADH1C;EPHX1;UGT2B7;UGT2A1;CYP2C9;ALDH3B2;UGT2B28;ADH1B;NAT2;SULT2A1;UGT2B10;GSTO1;ALDH3B1;ADH4;CYP1B1;ADH7;UGT1A6;AKR1C2;UGT2A3
Circadian entrainment Homo sapiens hsa04713,-0.18395164450510954,-0.5962840647592218,0.8581560283687943,1.0,95,94,CALML5;GNB4;GRIN2D;GNAI2;GUCY1A2;ADCY9;GNGT2;MAPK3;ADCY2;GRIA4;MAPK1;GNG2;PLCB1;GNG4;GNAI1;CACNA1H;ADCYAP1R1;GUCY1A3;GNB2;PLCB2;CACNA1D;GRIA3;GNG11;PRKCB;GNB1;GNAI3;PLCB3;GRIN1;GNG5;GNG10;CREB1;PRKCG;ADCY8;GNB5;GNAO1;GNG7;CALM3;CAMK2A;ADCY10;CACNA1G;KCNJ5;NOS1AP;GNG3;NOS1;PRKG1;CAMK2B;GRIN2B;GNAS;GUCY1B3;PRKACG;GNAQ;KCNJ9;CAMK2D;PRKCA;KCNJ6;GNG12;PRKACB;CALML3;CACNA1C;ITPR3;CACNA1I;ADCY5;GRIA1;KCNJ3;PER2;PRKACA;ADCY1;MTNR1A;CALM1;GRIN2A;GRIN2C;RYR2;ADCY4;MTNR1B;ADCY7;GNB3;ITPR1;PER1;CALM2;GNG8;RYR1;RASD1;RPS6KA5;PER3;PRKG2;ADCY3;GNG13;CALML6;GRIA2;PLCB4;FOS;CAMK2G;RYR3;ADCY6,GNAS;GUCY1B3;PRKACG;GNAQ;KCNJ9;CAMK2D;PRKCA;KCNJ6;GNG12;PRKACB;CALML3;CACNA1C;ITPR3;CACNA1I;ADCY5;GRIA1;KCNJ3;PER2;PRKACA;ADCY1;MTNR1A;CALM1;GRIN2A;GRIN2C;RYR2;ADCY4;MTNR1B;ADCY7;GNB3;ITPR1;PER1;CALM2;GNG8;RYR1;RASD1;RPS6KA5;PER3;PRKG2;ADCY3;GNG13;CALML6;GRIA2;PLCB4;FOS;CAMK2G;RYR3;ADCY6
Osteoclast differentiation Homo sapiens hsa04380,0.17644807273525884,0.5833878140355548,0.8581560283687943,1.0,132,130,STAT1;JAK1;FCGR3A;IL1R1;IFNAR1;FCGR1A;TREM2;TGFBR2;FYN;IFNAR2;TYROBP;PLCG2;LILRB4;PPARG;NOX3;LILRA2;PIK3R1;LILRB1;PPP3CC;NCF4;TGFBR1;TNFRSF11A;MAPK3;SPI1;CYBA;CYBB;PIK3CA;CHUK;MAPK1;BTK;NCF1;FOSL2;CSF1R;PPP3R2;LILRA5;FCGR3B;IFNG;GAB2;TAB2;IFNGR2;TNFRSF1A;RAC1;GRB2;LILRB2;SYK;OSCAR;LILRA4;LILRA1;IFNGR1;SOCS3;TGFB1;PIK3R5;FCGR2A;MITF;RELA;NFATC1;SQSTM1;RELB;MAPK14;MAP2K1;PIK3CD;PIK3R2;BLNK;FCGR2C;TNFSF11;NFKB2;NOX1;ACP5;AKT3;AKT1;SIRPB1;LILRB3;LCP2;CREB1;SIRPG;NCF2;CSF1;PIK3CG;PPP3R1;PIK3R3;FHL2;TRAF6;ITGB3;LILRA6;CAMK4;PPP3CB;MAPK9;FOSL1;PPP3CA;LILRB5;NFKBIA;CYLD;LCK;TEC;TAB1;NFATC2;PIK3CB;MAPK8;MAP3K7;TNFRSF11B;MAPK13;MAPK10;CALCR;IL1A;TGFB2;FOSB;IFNB1;FCGR2B;JUNB;NFKB1;MAPK11;SIRPA;JUND;MAP2K6;MAP3K14;TNF;IKBKG;JUN;IRF9;SOCS1;CTSK;AKT2;MAPK12;TYK2;IL1B;FOS;TRAF2;IKBKB;STAT2;MAP2K7,STAT1;JAK1;FCGR3A;IL1R1;IFNAR1;FCGR1A;TREM2;TGFBR2;FYN;IFNAR2;TYROBP;PLCG2;LILRB4;PPARG;NOX3;LILRA2;PIK3R1;LILRB1;PPP3CC;NCF4;TGFBR1;TNFRSF11A;MAPK3;SPI1;CYBA;CYBB;PIK3CA;CHUK;MAPK1;BTK;NCF1;FOSL2;CSF1R;PPP3R2;LILRA5;FCGR3B;IFNG;GAB2;TAB2;IFNGR2
Hedgehog signaling pathway Homo sapiens hsa04340,-0.24578707154557541,-0.7740403773340284,0.8592592592592593,1.0,50,50,WNT6;RAB23;WNT3A;WNT7B;SHH;WNT4;WNT2;IHH;GLI1;WNT11;PTCH1;BMP4;BMP2;CSNK1A1;WNT16;WNT5A;CSNK1G1;GSK3B;CSNK1E;WNT1;SUFU;WNT5B;BTRC;WNT10B;FBXW11;ZIC2;CSNK1G3;WNT9B;PRKACG;PRKACB;DHH;GLI2;PRKACA;WNT8A;WNT10A;SMO;WNT9A;CSNK1A1L;LRP2;WNT3;GLI3;CSNK1G2;HHIP;WNT7A;GAS1;WNT2B;CSNK1D;WNT8B;STK36;PTCH2,CSNK1A1L;LRP2;WNT3;GLI3;CSNK1G2;HHIP;WNT7A;GAS1;WNT2B;CSNK1D;WNT8B;STK36;PTCH2
Sphingolipid metabolism Homo sapiens hsa00600,0.18841904356760789,0.6806624533707974,0.8686131386861314,1.0,47,46,NEU1;ENPP7;SPHK1;GLB1;ASAH1;DEGS1;SPTLC3;PPAP2A;SGPL1;KDSR;SGMS1;GBA;NEU4;SPTLC1;SGPP2;CERK;SGPP1;CERS4;SMPD1;CERS6;DEGS2;SMPD3;ARSA;ASAH2;SMPD2;PPAP2B;SPTLC2;GLA;ACER3;GALC;B4GALT6;GAL3ST1;UGT8;CERS3;CERS1;NEU3;ACER2;CERS2;PPAP2C;UGCG;ACER1;SGMS2;GBA2;SPHK2;SMPD4;CERS5,NEU1;ENPP7;SPHK1;GLB1;ASAH1;DEGS1;SPTLC3;PPAP2A;SGPL1;KDSR;SGMS1;GBA
